C_SKU_Nbr,C_Short_Week,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_Str_OH_units_wkly,C_sales
1005559956,FW 202047,1540-HIGHLANDS RANCH,1540,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,242.0,
1005559955,FW 202028,1508-PARK MEADOWS,1508,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,258.0,
1005559956,FW 202040,1515-GREELEY,1515,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",15.0,96.0,329.70000000000005
1005559955,FW 202036,"1547-BRIGHTON,CO",1547,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,472.0,
1005559955,FW 202050,"1501-AURORA, CO",1501,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,220.0,
1005559955,FW 202039,1538-NE COLORADO SPRINGS,1538,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,138.0,
1005559955,FW 202043,1551-NORTH AURORA,1551,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559955,FW 202051,"1526-GLENDALE,CO",1526,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,230.0,
1005559955,FW 202026,1503-THORNTON,1503,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,254.0,
1005559955,FW 202039,1511-PUEBLO,1511,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,260.0,
1005559955,FW 202026,1522-GOLDEN,1522,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559956,FW 202044,1532-STAPLETON,1532,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,247.0,
1005559955,FW 202101,1516-PARKER,1516,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",2.0,233.0,43.96
1005559956,FW 202046,1511-PUEBLO,1511,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,264.0,
