C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
PRESSURE TREATED/DECKING,186755,4 IN. X 4 IN. NEWBURY CLASSIC PRESSU,1000347600,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,11682.0,0.0
FENCING,153787,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345253,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,36.0,0.0
FENCING,UNKNOWN,DIS 6'X8' PT PINE DE SHADOWBOX PNL,1001250409,021-008-018-EVENTS,021-008-018,21-LUMBER,1.0,0.0
FENCING,UNKNOWN,454-866 S/O EON PROMOTIONAL FENCING,454866,021-008-060-S/O WOOD FENCING,021-008-060,21-LUMBER,4.0,
BOARDS,276582,1 IN. X 6 IN. X 8 FT. EASED EDGE PIN,1002185251,021-005-010-HARDWOOD,021-005-010,21-LUMBER,3255.0,
BOARDS,325827,1 IN. X 8 IN. X 8 FT. BARN WOOD WHIT,1003521512,021-005-010-HARDWOOD,021-005-010,21-LUMBER,6253.0,
HARDSCAPES,288233,12 IN. X 12 IN. GEOBLOCK STEPPING ST,1002585191,028-028-007-PAVERS,028-028-007,28-SEASONAL/GARDEN,308.0,
FENCING,144735,PRO SERIES 42 IN. X 8 FT. VINYL ALEX,1000342349,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,399.0,
FENCING,306109,GLENDALE 4 FT. X 8 FT. VINYL SCALLOP,1002796580,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,408.0,
MISCELLANEOUS,UNKNOWN,EXPEDITED DELIVERY FEE_UNIVERSAL,1000013964,021-090-002-DELIVERY,021-090-002,21-LUMBER,,
FENCING,144729,PRO SERIES 6 FT. X 8 FT. VINYL WHITE,1000341854,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,365.0,
FENCING,144779,PRO SERIES 12 FT. X 8 IN. X 8 IN. VI,1000342005,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,2.0,
BOARDS,325833,1 IN. X 8 IN. X 8 FT. BARN WOOD LIGH,1003521540,021-005-010-HARDWOOD,021-005-010,21-LUMBER,931.0,
LANDSCAPE,UNKNOWN,DLVRD 5 STP PT R-TN SYP STAIR STRNGR,1000019493,021-007-006-SPECIALTY,021-007-006,21-LUMBER,,0.0
