C_SKU_Nbr,C_d_Market_Nbr,C_Sales_Units,C_sales
1002185336,0005,4970.0,19505.079999999874
219743,0034,5100.0,66237.85000000214
1002185329,0093,5011.0,11942.120000000117
1000043070,0364,7.0,610.8599999999999
351328,0467,280.0,8015.000000000009
441895,0026,905.0,27011.249999999778
1001754835,0471,1120.0,13323.739999999998
731934,0147,686.0,18176.629999999997
1003131893,0093,230.0,3168.6100000000006
1002806943,0113,55.0,1004.4600000000007
925877,0186,9.0,97.10999999999999
1002275152,0310,343.0,1879.3999999999996
1001787119,0591,282.0,8557.189999999997
1001754835,0268,3519.0,40266.18000000001
1003933833,0042,1916.0,21646.82000000044
1000247217,0127,64.0,858.3200000000002
1002625925,0173,436.0,409.7199999999999
914584,0147,17214.0,39284.00000000016
462296,0570,3.0,1.92
1000043070,0304,47.0,4406.02
1001101224,0017,744.0,7424.999999999992
1002341934,0595,499.0,6397.109999999998
279388,0026,2076.0,25434.36000000019
1003620417,0077,684.0,3267.059999999996
300853,0186,135.0,2593.3000000000015
385069,0582,14.0,104.58
1005710701,0065,1.0,98.0
560588,0272,115.0,12044.13999999998
1002806943,0249,145.0,2664.139999999996
284503,0196,783.0,19337.850000000035
918460,0467,1.0,2.98
155713,0419,116.0,1038.7400000000018
361419,0570,389.0,5977.529999999998
1001754124,0576,500.0,14695.369999999977
1001349041,0005,,
1002341934,0106,6693.0,86125.58999999946
440542,0014,4891.0,84324.03000000084
1002185336,0310,282.0,1155.5800000000006
1002185336,0373,811.0,3069.289999999997
155395,0342,2250.0,9671.490000000005
430269,0570,253.0,3949.330000000003
219743,0036,2731.0,43149.34000000092
914584,0196,12758.0,33600.9400000001
716686,0196,93.0,611.01
914649,0581,1615.0,5611.829999999976
286503,0077,85.0,3393.449999999998
461653,0605,,
536763,0063,1748.0,34595.4199999998
1001753914,0605,1051.0,14162.430000000008
1002302294,0414,20.0,162.79999999999998
294895,0416,25.0,61.74999999999999
461653,0533,166.0,85.38
295639,0129,14.0,69.58
1002185336,0300,367.0,1545.3800000000003
167894,0605,842.0,8212.37
1002275152,0570,369.0,1979.5199999999988
411310,0570,1565.0,15438.479999999989
1001101224,0518,106.0,1021.94
300969,0357,497.0,10550.510000000024
1001749849,0503,1036.0,2430.6899999999964
1001749849,0418,403.0,962.9700000000001
1002302295,0609,60.0,807.23
1001283607,0113,493.0,1623.7099999999923
149671,0416,146.0,2378.2499999999977
1001412558,0581,403.0,3414.0400000000027
1004183704,0595,279.0,546.02
1005011955,0481,38.0,675.26
156797,0595,67.0,494.5699999999996
315110,0588,98.0,3902.9500000000007
1002185336,0097,907.0,3729.020000000004
219743,0357,377.0,4573.090000000002
1000993472,0594,51.0,1481.0499999999995
1002275152,0005,4210.0,23237.400000000143
1004183704,0127,749.0,1472.249999999999
1001101228,0579,223.0,3008.340000000001
460219,0421,103.0,365.90999999999974
1002341934,0602,498.0,6929.530000000002
300810,0097,1380.0,7831.439999999938
1001787266,0570,386.0,15467.019999999993
824670,0026,38.0,117.12
1002275152,0531,99.0,544.14
1000000560,0392,113.0,8210.379999999996
1001797163,0591,519.0,7920.280000000003
1001283617,0392,52.0,407.78
351328,0342,71.0,2014.4600000000003
1002625925,0014,1787.0,1742.790000000001
1002185336,0268,151.0,644.5799999999999
461448,0077,661.0,289.53999999999985
743748,0340,96.0,1517.5099999999993
1004091001,0304,80.0,3859.4299999999985
432794,0421,32.0,643.36
1003933837,0017,19.0,438.08000000000004
1001101228,0418,26.0,389.48
1005011955,0097,171.0,3040.4599999999987
112345,0212,255.0,5681.989999999984
1002275171,0212,806.0,2718.7199999999943
1002275158,0102,685.0,3780.739999999999
1002185331,0327,2163.0,6220.099999999997
1001283617,0063,253.0,2004.3300000000027
1001753993,0342,883.0,12290.589999999998
1002855788,0600,249.0,796.1200000000001
1005427985,0572,198.0,1214.7599999999989
1002185326,0127,1129.0,1806.409999999999
559087,0596,109.0,8388.739999999998
567776,0143,126.0,2452.2699999999986
300918,0463,47.0,1041.2900000000002
259270,0588,302.0,5288.1199999999935
385069,0595,45.0,285.35
456583,0416,28.0,657.7900000000001
575190,0314,47.0,1489.1099999999994
1000043070,0595,11.0,1059.98
1000032455,0127,195.0,7928.030000000001
1000013847,0129,114.0,3033.1499999999996
1002185329,0599,554.0,1326.439999999999
445789,0077,1265.0,10621.98999999992
1004718897,0594,52.0,2033.7599999999998
300950,0202,315.0,3176.1799999999957
1001802033,0421,1375.0,24515.660000000007
