C_Merch_Vendor_Nbr,C_SKU_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_sales
769444,1002275150,3825-WESTERVILLE,3825,1002275150-2X4-4FT PREM SYP GC PT WSHLD,656.0,2601.4799999999996
68662,1002275150,1244-GREECE,1244,1002275150-2X4-4FT PREM SYP GC PT WSHLD,266.0,1035.14
769444,1002275150,1214-FLUSHING,1214,1002275150-2X4-4FT PREM SYP GC PT WSHLD,350.0,1545.8100000000002
769444,1002275150,2764-AUBURN HILLS,2764,1002275150-2X4-4FT PREM SYP GC PT WSHLD,0.0,-3.76
68662,1002275150,6846-AUBURN,6846,1002275150-2X4-4FT PREM SYP GC PT WSHLD,205.0,810.8499999999998
769444,1002275150,3625-ASHEVILLE,3625,1002275150-2X4-4FT PREM SYP GC PT WSHLD,464.0,1705.1899999999987
769444,1002275150,6215-WATERFORD,6215,1002275150-2X4-4FT PREM SYP GC PT WSHLD,-4.0,-14.28
769444,1002275150,2562-BOWIE,2562,1002275150-2X4-4FT PREM SYP GC PT WSHLD,412.0,1652.070000000001
769444,1002275150,2674-WALTHAM,2674,1002275150-2X4-4FT PREM SYP GC PT WSHLD,1262.0,4755.979999999993
769444,1002275150,1909-CALUMET CITY,1909,1002275150-2X4-4FT PREM SYP GC PT WSHLD,255.0,927.0400000000003
769444,1002275150,0118-WESLEY CHAPEL,0118,1002275150-2X4-4FT PREM SYP GC PT WSHLD,-3.0,-12.419999999999998
769444,1002275150,4551-BENNINGTON,4551,1002275150-2X4-4FT PREM SYP GC PT WSHLD,262.0,924.6300000000003
21376,1002275150,0883-MONTGOMERY,0883,1002275150-2X4-4FT PREM SYP GC PT WSHLD,235.0,925.2900000000001
769444,1002275150,1855-ENGLEWOOD,1855,1002275150-2X4-4FT PREM SYP GC PT WSHLD,257.0,964.0399999999998
769444,1002275150,2033-MISHAWAKA,2033,1002275150-2X4-4FT PREM SYP GC PT WSHLD,179.0,750.9200000000001
769444,1002275150,1976-LINCOLN PARK,1976,1002275150-2X4-4FT PREM SYP GC PT WSHLD,-2.0,-8.16
769444,1002275150,6987-NORMAL,6987,1002275150-2X4-4FT PREM SYP GC PT WSHLD,255.0,974.3599999999999
769444,1002275150,2578-OCEAN CITY,2578,1002275150-2X4-4FT PREM SYP GC PT WSHLD,888.0,3202.8600000000006
769444,1002275150,4926-RACINE,4926,1002275150-2X4-4FT PREM SYP GC PT WSHLD,,
769444,1002275150,1916-DOWNERS GROVE,1916,1002275150-2X4-4FT PREM SYP GC PT WSHLD,554.0,2095.420000000001
769444,1002275150,4137-DOWNINGTOWN,4137,1002275150-2X4-4FT PREM SYP GC PT WSHLD,,
769444,1002275150,1401-W LITTLE ROCK,1401,1002275150-2X4-4FT PREM SYP GC PT WSHLD,903.0,3683.860000000001
769444,1002275150,3856-TROTWOOD,3856,1002275150-2X4-4FT PREM SYP GC PT WSHLD,224.0,882.3000000000002
769444,1002275150,8548-LANHAM,8548,1002275150-2X4-4FT PREM SYP GC PT WSHLD,315.0,1358.8599999999997
68662,1002275150,6153-CLAY,6153,1002275150-2X4-4FT PREM SYP GC PT WSHLD,449.0,1839.2100000000007
21376,1002275150,2914-OXFORD,2914,1002275150-2X4-4FT PREM SYP GC PT WSHLD,132.0,506.70000000000005
68662,1002275150,"6174-WATERTOWN,NY",6174,1002275150-2X4-4FT PREM SYP GC PT WSHLD,310.0,1243.8900000000008
21376,1002275150,4101-S PHILADELPHIA,4101,1002275150-2X4-4FT PREM SYP GC PT WSHLD,278.0,1168.22
21376,1002275150,0725-HICKORY HILL,0725,1002275150-2X4-4FT PREM SYP GC PT WSHLD,161.0,630.8499999999999
769444,1002275150,1980-KIMBALL & ADDISON,1980,1002275150-2X4-4FT PREM SYP GC PT WSHLD,777.0,2906.850000000002
769444,1002275150,"4131-LANCASTER, PA",4131,1002275150-2X4-4FT PREM SYP GC PT WSHLD,387.0,1543.1400000000003
769444,1002275150,2037-CARMEL,2037,1002275150-2X4-4FT PREM SYP GC PT WSHLD,451.0,1784.2699999999988
769444,1002275150,6105-LEVITTOWN (RELO #1201),6105,1002275150-2X4-4FT PREM SYP GC PT WSHLD,329.0,1399.2199999999987
21376,1002275150,0733-HERMITAGE,0733,1002275150-2X4-4FT PREM SYP GC PT WSHLD,439.0,1791.3300000000006
