C_Class_Nbr,C_Short_Week,C_Sales_Units,C_Str_OH_units_dly,C_sales
022-012,FW 201751,5038.0,,54112.080000000045
021-007,FW 202040,485990.0,,2224855.659999996
021-008,FW 201817,1025257.17,,4169679.23
022-009,FW 201948,32202.0,,162189.6100000007
028-028,FW 202032,167.0,,12581.529999999979
027-031,FW 201839,1480.0,,5707.349999999975
025-001,FW 201950,,,
028-023,FW 201905,2175.0,,36645.45999999978
021-090,FW 201941,0.0,,17.5
022-004,FW 202040,9.0,,9641.25
022-012,FW 201818,6175.0,,61941.82000000002
028-023,FW 201922,11392.0,,109837.73999999708
021-002,FW 201906,632.0,,10197.349999999999
022-009,FW 202030,59278.0,,292278.1800000009
028-023,FW 202018,26161.0,,273489.50000000064
021-020,FW 201833,1444896.0,,12059687.210000008
022-010,FW 201925,105.0,,3432.91
021-090,FW 202035,0.0,,-40.0
022-014,FW 201836,1.0,,61.91
022-004,FW 201933,,,
028-028,FW 202004,62.0,,3899.0600000000013
028-026,FW 202023,8.0,,241.39999999999998
027-031,FW 201836,551.0,,7350.539999999979
021-002,FW 201836,285.0,,4210.8
028-023,FW 202045,6478.0,,36976.649999999725
021-004,FW 202045,5291.0,,32941.25
021-090,FW 201826,9.0,,686.33
021-004,FW 202033,6704.0,,36837.350000000006
022-004,FW 201807,35.0,,14657.6
022-009,FW 202101,63678.0,290906.5,323496.52999999723
022-012,FW 202101,4527.0,14381.0,53744.69
027-031,FW 201925,-1.0,,-23.06
021-003,FW 201918,55348.0,,170147.21000000005
021-005,FW 201802,269771.27999999997,,790709.1099999996
027-031,FW 202008,,,
022-012,FW 201851,4363.0,,51398.88000000006
021-006,FW 201912,1269.0,,6182.23
021-020,FW 201918,2236211.1,,17736085.400000025
021-005,FW 202006,289302.75,,874531.310000002
025-003,FW 202019,21.0,,59.22
025-001,FW 201922,,,
021-006,FW 201851,7115.0,,18381.400000000005
021-090,FW 202007,3.0,,225.01
021-005,FW 202015,435733.15,,1303440.0199999996
028-028,FW 201944,9.0,,477.8299999999999
021-005,FW 201812,276947.33999999997,,819720.92
021-004,FW 201911,5444.0,,14146.04
021-007,FW 201932,533922.0,,2175031.529999999
021-008,FW 201912,1145794.5,,4075050.4299999997
021-003,FW 202028,84227.0,,311570.4000000001
028-023,FW 201827,1984.0,,36790.64999999976
028-028,FW 201949,14.0,,1111.6699999999998
028-028,FW 201826,38.0,,1418.9499999999998
021-001,FW 202049,170752.0,,2225528.579999697
021-020,FW 201938,1539674.09,,11595733.48000001
021-005,FW 201950,275723.16000000003,,832683.1400000026
021-020,FW 202024,2287197.0,,23667755.820000067
022-010,FW 202039,138.0,,4252.24
028-023,FW 202010,12179.0,,141484.6200000008
027-031,FW 201750,16208.0,,289834.5500000076
021-005,FW 201924,274095.06,,803955.6100000001
021-018,FW 202023,1145.0,,109330.02
021-020,FW 201853,1036400.0,,7433603.099999996
021-015,FW 202044,77.0,,5377.449999999999
021-005,FW 201938,276877.57999999996,,845701.2500000001
022-004,FW 201851,11.0,,9781.81
027-031,FW 201823,14675.0,,263058.67000000697
021-001,FW 201804,114558.5,,1380017.7299999958
028-028,FW 201926,40.0,,2976.4000000000005
021-090,FW 201925,3.0,,441.24
021-001,FW 201807,114900.3,,1385439.1499999962
028-028,FW 201827,27.0,,1948.3200000000002
022-012,FW 201926,2883.0,,31743.15999999998
022-010,FW 202029,229.0,,7352.470000000001
021-015,FW 202002,105.0,,7388.119999999999
021-020,FW 201829,1614215.0,,14359116.730000012
022-009,FW 201910,4357.0,,41611.58999999999
021-013,FW 201924,,,
027-031,FW 201937,-1.0,,-0.01
021-003,FW 201837,36327.0,,149428.08
021-090,FW 201834,3.0,,595.0
021-007,FW 201833,454001.0,,1900125.4700000018
028-023,FW 202032,17110.0,,126970.81999999874
028-028,FW 201904,13.0,,757.4599999999998
021-007,FW 201803,237049.0,,1014822.7899999999
021-008,FW 202036,900943.0,,3295748.0899999994
022-012,FW 201825,6170.0,,68918.46999999999
028-023,FW 202019,24399.0,,273453.9499999998
021-020,FW 202047,989259.5,,9479677.390000004
021-003,FW 201943,49042.0,,134183.75999999998
021-004,FW 201814,5399.0,,15978.32
021-004,FW 202011,6667.0,,32498.260000000002
021-018,FW 202024,1136.0,,108033.14999999998
021-018,FW 201850,,,
021-090,FW 202017,18.0,,2112.71
021-005,FW 201838,281462.36,,847814.7099999998
