"SKU Nbr","SKU","Store","Store Nbr","Market","Market Nbr","Year","Short Week","Sales Units","Sales Units LY","Sales $","Sales $ LY"
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2809-BURNSVILLE","2809","0101-MINNESOTA","0101","2020","FW 202052","3","","$86.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","8466-SYOSSET","8466","0020-LONG ISLAND","0020","2020","FW 202052","5","","$94.35",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2845-RICHFIELD,MN","2845","0101-MINNESOTA","0101","2021","FW 202101","5","","$94.35",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2841-SHAKOPEE","2841","0101-MINNESOTA","0101","2020","FW 202052","11","","$317.57",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2845-RICHFIELD,MN","2845","0101-MINNESOTA","0101","2020","FW 202052","8","","$230.96",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2676-LEOMINSTER","2676","0039-BOSTON/MA/NH","0039","2020","FW 202052","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2681-NORWOOD","2681","0039-BOSTON/MA/NH","0039","2020","FW 202049","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1282-SHIRLEY","1282","0020-LONG ISLAND","0020","2021","FW 202102","25","","$649.57",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1206-FREEPORT","1206","0020-LONG ISLAND","0020","2020","FW 202050","4","","$75.48",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1229-CORAM","1229","0020-LONG ISLAND","0020","2020","FW 202049","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1213-JERICHO","1213","0020-LONG ISLAND","0020","2020","FW 202048","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","8466-SYOSSET","8466","0020-LONG ISLAND","0020","2020","FW 202047","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0818-PELL CITY","0818","0089-BIRMINGHAM","0089","2020","FW 202051","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0723-BRENTWOOD","0723","0019-NASHVILLE","0019","2020","FW 202052","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0726-CLARKSVILLE, TN","0726","0019-NASHVILLE","0019","2021","FW 202101","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4909-WEST MADISON","4909","0164-MILWAUKEE","0164","2021","FW 202101","2","","$57.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4911-JANESVILLE","4911","0164-MILWAUKEE","0164","2020","FW 202051","1","","$28.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2676-LEOMINSTER","2676","0039-BOSTON/MA/NH","0039","2021","FW 202101","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1218-COPIAGUE","1218","0020-LONG ISLAND","0020","2020","FW 202050","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0775-SPRING HILL,TN","0775","0019-NASHVILLE","0019","2020","FW 202051","1","","$18.87",""
