Class,Manuf_Part_Number_Plus,SKU_Nbr,Short_Week,SKU,Sales_Units,Sales_Dollars
021-008-FENCING,141568,249148,FW 201815,249148-6'X8' DOVER PRIVACY PANEL,1145,79224.03
021-008-FENCING,141568,249148,FW 202021,249148-6'X8' DOVER PRIVACY PANEL,1626,123057.44999999997
021-008-FENCING,141568,249148,FW 201917,249148-6'X8' DOVER PRIVACY PANEL,1764,133133.47
021-008-FENCING,141568,249148,FW 201832,249148-6'X8' DOVER PRIVACY PANEL,289,21856.739999999994
021-008-FENCING,141568,249148,FW 201945,249148-6'X8' DOVER PRIVACY PANEL,182,13777.099999999999
021-008-FENCING,141568,249148,FW 201804,249148-6'X8' DOVER PRIVACY PANEL,34,2558.2
021-008-FENCING,141568,249148,FW 201834,249148-6'X8' DOVER PRIVACY PANEL,325,23766.04
021-008-FENCING,141568,249148,FW 201823,249148-6'X8' DOVER PRIVACY PANEL,380,29318.449999999997
021-008-FENCING,141568,249148,FW 202006,249148-6'X8' DOVER PRIVACY PANEL,1092,81553.1
021-008-FENCING,141568,249148,FW 202010,249148-6'X8' DOVER PRIVACY PANEL,1989,147712.68
021-008-FENCING,141568,249148,FW 201906,249148-6'X8' DOVER PRIVACY PANEL,84,6324.6499999999978
021-008-FENCING,141568,249148,FW 201931,249148-6'X8' DOVER PRIVACY PANEL,1379,105170.20999999999
021-008-FENCING,141568,249148,FW 202041,249148-6'X8' DOVER PRIVACY PANEL,1041,81211.659999999989
021-008-FENCING,141568,249148,FW 201905,249148-6'X8' DOVER PRIVACY PANEL,44,3269.8
021-008-FENCING,141568,249148,FW 201849,249148-6'X8' DOVER PRIVACY PANEL,26,2071.62
021-008-FENCING,141568,249148,FW 201831,249148-6'X8' DOVER PRIVACY PANEL,545,40411.920000000006
021-008-FENCING,141568,249148,FW 201943,249148-6'X8' DOVER PRIVACY PANEL,230,17187.280000000002
021-008-FENCING,141568,249148,FW 201821,249148-6'X8' DOVER PRIVACY PANEL,609,46581.869999999981
021-008-FENCING,141568,249148,FW 202046,249148-6'X8' DOVER PRIVACY PANEL,318,25405.57
021-008-FENCING,141568,249148,FW 202026,249148-6'X8' DOVER PRIVACY PANEL,1448,110742.72
021-008-FENCING,141568,249148,FW 201919,249148-6'X8' DOVER PRIVACY PANEL,1515,116766.48000000001
021-008-FENCING,141568,249148,FW 202032,249148-6'X8' DOVER PRIVACY PANEL,1208,91535.03
021-008-FENCING,141568,249148,FW 202031,249148-6'X8' DOVER PRIVACY PANEL,1127,87590.540000000008
021-008-FENCING,141568,249148,FW 201933,249148-6'X8' DOVER PRIVACY PANEL,825,61710.159999999996
021-008-FENCING,141568,249148,FW 202003,249148-6'X8' DOVER PRIVACY PANEL,343,25345.159999999993
021-008-FENCING,141568,249148,FW 201810,249148-6'X8' DOVER PRIVACY PANEL,326,23285.609999999993
021-008-FENCING,141568,249148,FW 202034,249148-6'X8' DOVER PRIVACY PANEL,1013,76633.93
021-008-FENCING,141568,249148,FW 202019,249148-6'X8' DOVER PRIVACY PANEL,2045,156098.86000000002
021-008-FENCING,141568,249148,FW 201818,249148-6'X8' DOVER PRIVACY PANEL,870,64117.259999999987
021-008-FENCING,141568,249148,FW 201915,249148-6'X8' DOVER PRIVACY PANEL,1866,139847.17
021-008-FENCING,141568,249148,FW 202044,249148-6'X8' DOVER PRIVACY PANEL,473,36613.83
021-008-FENCING,141568,249148,FW 201837,249148-6'X8' DOVER PRIVACY PANEL,223,17178.309999999998
021-008-FENCING,141568,249148,FW 202005,249148-6'X8' DOVER PRIVACY PANEL,1214,89351.959999999992
021-008-FENCING,141568,249148,FW 201816,249148-6'X8' DOVER PRIVACY PANEL,1218,79841.87
021-008-FENCING,141568,249148,FW 201908,249148-6'X8' DOVER PRIVACY PANEL,690,51452.579999999994
021-008-FENCING,141568,249148,FW 201835,249148-6'X8' DOVER PRIVACY PANEL,370,27422.14
021-008-FENCING,141568,249148,FW 201853,249148-6'X8' DOVER PRIVACY PANEL,37,2802.2000000000003
021-008-FENCING,141568,249148,FW 202050,249148-6'X8' DOVER PRIVACY PANEL,491,39605.87999999999
021-008-FENCING,141568,249148,FW 201935,249148-6'X8' DOVER PRIVACY PANEL,1017,77487.069999999992
021-008-FENCING,141568,249148,FW 201925,249148-6'X8' DOVER PRIVACY PANEL,885,66682.579999999987
021-008-FENCING,141568,249148,FW 201845,249148-6'X8' DOVER PRIVACY PANEL,19,1649.0600000000009
021-008-FENCING,141568,249148,FW 201910,249148-6'X8' DOVER PRIVACY PANEL,1213,90717.09
021-008-FENCING,141568,249148,FW 201841,249148-6'X8' DOVER PRIVACY PANEL,154,12273.24
021-008-FENCING,141568,249148,FW 201830,249148-6'X8' DOVER PRIVACY PANEL,410,30294.239999999994
021-008-FENCING,141568,249148,FW 202016,249148-6'X8' DOVER PRIVACY PANEL,4011,298852.93999999994
021-008-FENCING,141568,249148,FW 201940,249148-6'X8' DOVER PRIVACY PANEL,536,42761.26
021-008-FENCING,141568,249148,FW 201809,249148-6'X8' DOVER PRIVACY PANEL,366,25869.16
021-008-FENCING,141568,249148,FW 201944,249148-6'X8' DOVER PRIVACY PANEL,199,15144.97
021-008-FENCING,141568,249148,FW 201803,249148-6'X8' DOVER PRIVACY PANEL,71,5290.0099999999993
