"SKU","SKU Nbr","Store","Store Nbr","Short Week","Sales Units","Sales $","Str OH Units Wkly"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1512-FT COLLINS","1512","FW 202034","4","$87.92","197"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1517-WESTMINSTER, CO","1517","FW 202036","3","$65.94","258"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1544-N FT COLLINS","1544","FW 202048","","","224"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1514-LAKEWOOD, CO","1514","FW 202101","1","$21.98","234"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1506-LOUISVILLE","1506","FW 202039","16","$316.48","248"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1514-LAKEWOOD, CO","1514","FW 202043","1","$21.98","235"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1538-NE COLORADO SPRINGS","1538","FW 202044","","","192"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1552-FIRESTONE","1552","FW 202049","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1517-WESTMINSTER, CO","1517","FW 202043","","","222"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1519-LITTLETON","1519","FW 202051","","","272"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1540-HIGHLANDS RANCH","1540","FW 202038","","","248"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1551-NORTH AURORA","1551","FW 202040","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1512-FT COLLINS","1512","FW 202029","8","$175.84","251"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1549-JEFFERSON COUNTY","1549","FW 202033","","","262"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1552-FIRESTONE","1552","FW 202021","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1547-BRIGHTON,CO","1547","FW 202052","4","$87.92","196"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1524-BROOMFIELD","1524","FW 202051","","","140"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1516-PARKER","1516","FW 202101","2","$43.96","233"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1503-THORNTON","1503","FW 202024","","","259"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1518-SW COLORADO SPRINGS","1518","FW 202033","5","$109.90","243"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1552-FIRESTONE","1552","FW 202034","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1509-GREENWOOD VILLAGE","1509","FW 202052","","","245"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1501-AURORA, CO","1501","FW 202027","","","262"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1506-LOUISVILLE","1506","FW 202035","","","263"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1507-DENVER SW","1507","FW 202035","2","$43.96","182"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1520-BEAR VALLEY","1520","FW 202036","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1522-GOLDEN","1522","FW 202040","","","260"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1538-NE COLORADO SPRINGS","1538","FW 202022","1","$21.98","253"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1552-FIRESTONE","1552","FW 202101","","","247"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1507-DENVER SW","1507","FW 202051","","","148"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1505-SANTA FE","1505","FW 202038","11","$241.78","204"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1515-GREELEY","1515","FW 202029","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1528-SADDLEROCK","1528","FW 202039","","","214"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1550-LAKEWOOD-NORTH","1550","FW 202041","","","251"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1551-NORTH AURORA","1551","FW 202041","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1507-DENVER SW","1507","FW 202051","","","248"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1523-PIONEER HILLS","1523","FW 202025","","","254"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1526-GLENDALE,CO","1526","FW 202033","","","261"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1544-N FT COLLINS","1544","FW 202023","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1502-ARVADA","1502","FW 202031","","","205"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1506-LOUISVILLE","1506","FW 202043","","","244"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1510-ACADEMY BLVD","1510","FW 202045","7","$138.47","213"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1546-BOULDER","1546","FW 202035","1","$21.98","250"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1507-DENVER SW","1507","FW 202024","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1541-MONUMENT","1541","FW 202034","","","244"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1506-LOUISVILLE","1506","FW 202051","(5)","($109.90)","242"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1520-BEAR VALLEY","1520","FW 202025","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1518-SW COLORADO SPRINGS","1518","FW 202023","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1522-GOLDEN","1522","FW 202035","3","$65.94","261"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1546-BOULDER","1546","FW 202050","","","136"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1514-LAKEWOOD, CO","1514","FW 202052","","","234"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1508-PARK MEADOWS","1508","FW 202033","","","259"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1528-SADDLEROCK","1528","FW 202050","","","170"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1529-LOVELAND","1529","FW 202035","","","241"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1529-LOVELAND","1529","FW 202039","","","224"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1548-N THORNTON","1548","FW 202044","4","$87.92","150"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1551-NORTH AURORA","1551","FW 202020","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1507-DENVER SW","1507","FW 202101","","","147"
