SKU_Nbr,Market_Nbr,Sales_Units,Sales_Dollars
1001308546,0001,6007,103582.8800000004
1002275171,0001,32078,101868.109999998
988026,0001,15011,177786.99999999983
1005880697,0001,281,1650.7299999999998
354221,0001,21221,158325.84999999846
298495,0001,9931,11637.760000000002
1001283615,0001,990,6330.81999999998
1005584822,0002,26,649.48
1005584802,0002,61,602.80000000000018
1001753972,0002,73037,572734.06999999913
461902,0002,7420,57341.779999999984
916777,0002,170,522.86
1000013847,0002,3283,97877.75999999998
368253,0002,1164,25692.140000000007
1001754837,0002,60205,1036284.9699999999
1001753935,0002,104962,1690162.2200000032
1002275152,0002,10503,54681.600000000006
1000013893,0002,2911,23403.75
315412,0002,354190,684829.29000000015
1001754095,0002,16576,326238.86999999912
351328,0002,3931,116590.30999999981
1005584404,0002,34,543.32
430269,0002,5436,80360.079999999987
1001753849,0002,635285,3117186.0200000107
461653,0002,508,207.53999999999991
1005583844,0002,95,661.71000000000015
1000032455,0002,498,16950.439999999995
461443,0002,11491,50177.80000000001
258552,0002,431,11287.600000000002
1004865236,0002,5950,60440.820000000007
1001753960,0002,237435,1416855.5099999998
259270,0002,16760,275834.84999999939
257974,0002,69899,1124340.1100000017
437246,0002,5862,7231.9899999999916
1002275158,0002,11042,56930.74000000002
1002275150,0002,25592,97806.790000000285
1001754119,0002,5824,231332.46999999994
1005584806,0002,66,985.68000000000052
1001753914,0002,163533,2004173.9400000023
778506,0002,3432,54587.580000000031
1002185331,0002,19548,59544.220000000045
1005584816,0002,81,484.38
1005584227,0002,8,95.84
1001753965,0002,85324,622024.83999999682
1005583839,0002,37,255.46000000000009
1001754117,0002,9924,308230.4099999991
1002185326,0002,41421,64524.400000000132
1001753958,0002,92189,593550.35000000091
411310,0002,28589,263014.62999999936
440572,0002,2321,72583.199999999939
1005584813,0002,35,695.30000000000018
1001814380,0002,323831,938452.81999999855
1001754821,0002,1163,5429.0400000000009
641092,0002,29903,1543373.8599999978
460512,0002,355396,541992.68000000017
278318,0002,13023,44497.35999999995
1001754130,0002,37788,1429652.3600000045
1001754124,0002,28536,968649.25000000407
1001754013,0002,25532,343761.92999999906
1005583943,0002,119,719.57999999999993
1005011955,0002,539,9553.0000000000036
156676,0002,16153,122980.32000000018
260691,0002,9875,275385.12999999954
129430,0002,225307,960496.90000000037
169757,0002,5396174,8918974.2299999855
641184,0002,51334,2036701.7600000093
1001753877,0002,276897,2196545.6099999985
1001754072,0002,17817,347905.58999999904
1001753990,0002,62292,720085.90999999864
1005584432,0002,190,940.72000000000048
1001754002,0002,33777,790298.47000000067
777683,0002,4706,44610.620000000046
759761,0002,317,16166.519999999995
1001311054,0002,45673,45331.649999999987
1005583834,0002,53,316.94000000000005
1005710701,0002,16,1599.68
1001753906,0002,177946,1789371.5200000033
1001787624,0002,10109,488285.48000000074
129163,0002,1375,50027.430000000008
1004511031,0002,1152,3617.28
1002185329,0002,23910,55518.410000000076
260931,0002,6837,310028.77999999997
1005583847,0002,40,359.20000000000005
165360,0002,351152,791111.70000000019
460219,0002,7848,25683.510000000068
1001660536,0002,7015,34511.590000000018
460788,0002,734,181.95
1001753988,0002,43648,500883.60000000027
1005584382,0002,79,548.74000000000035
1002341955,0002,8431,150485.72999999992
1001784150,0002,27691,172612.49
430792,0002,113862,112878.95999999993
302477,0002,141526,543641.32000000007
378739,0002,2261,47877.569999999992
440539,0002,8848,96599.899999999834
1005584397,0002,19,130.94000000000003
1004718703,0002,146,3681.7599999999998
439603,0002,28332,369620.57999999949
1005583935,0002,45,383.0200000000001
914335,0002,3231,9249.3499999999021
164704,0002,317930,572920.88999999582
1000032541,0002,319,2082.8
1001754832,0002,73982,732674.41999999958
1005584779,0002,55,273.89999999999986
1001308546,0002,3006,52603.800000000017
1001790455,0002,110828,455618.2099999988
351359,0002,2905,22756.100000000013
1004718897,0002,326,13392.299999999997
1001753998,0002,44295,763827.36999999976
1005583946,0002,20,199.60000000000002
301234,0002,3408,90749.949999999881
1004528703,0002,5,52.569999999999993
1000247126,0002,140,2910.5999999999995
1005584460,0002,137,682.26000000000045
278176,0002,150892,174142.43000000028
536763,0002,20887,446493.67999999825
482482,0002,4107,33475.090000000004
1001753967,0002,104194,897621.60000000033
1000043094,0002,2403,30974.770000000004
1001753944,0002,324151,1398776.8400000036
824670,0002,184775,426490.73
1001754835,0002,76477,872485.75999999989
393518,0002,53224,496113.45000000071
687642,0002,390100,863268.32000000181
1005584700,0002,48,573.84000000000015
214840,0002,5363,48074.529999999984
1005584486,0002,116,1030.6000000000004
